,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
1338,INFOSYSTCH,EQ,02-May-2005,1886.8,1897.0,1985.4,1897.0,1914.0,1915.15,1913.28,690525,1321165119.85,-,228306,33.06
1339,INFOSYSTCH,EQ,03-May-2005,1915.15,1925.0,1925.0,1900.0,1900.0,1901.45,1906.55,654224,1247308845.2,-,290224,44.36
1340,INFOSYSTCH,EQ,04-May-2005,1901.45,1900.0,1947.0,1900.0,1939.0,1937.6,1930.22,710444,1371310986.2,-,266260,37.48
1341,INFOSYSTCH,EQ,05-May-2005,1937.6,1970.0,2007.0,1951.15,2002.0,1995.15,1990.67,1597625,3180345716.85,-,892036,55.84
1342,INFOSYSTCH,EQ,06-May-2005,1995.15,2003.0,2030.0,1997.0,2030.0,2021.55,2009.78,984132,1977893689.0,-,542037,55.08
1343,INFOSYSTCH,EQ,09-May-2005,2021.55,2039.0,2103.5,2039.0,2093.0,2096.6,2090.29,1229618,2570260313.35,-,647861,52.69
1344,INFOSYSTCH,EQ,10-May-2005,2096.6,2100.0,2119.0,2050.0,2060.0,2059.2,2076.49,1140931,2369130604.95,-,532461,46.67
1345,INFOSYSTCH,EQ,11-May-2005,2059.2,1995.0,2080.0,1995.0,2074.0,2065.95,2045.58,1005510,2056850200.75,-,498365,49.56
1346,INFOSYSTCH,EQ,12-May-2005,2065.95,2062.7,2066.0,2041.0,2061.85,2061.15,2056.29,720509,1481574250.1,-,357887,49.67
1347,INFOSYSTCH,EQ,13-May-2005,2061.15,2050.0,2050.0,2020.4,2030.5,2032.9,2035.7,1087895,2214631244.3,-,776795,71.4
1348,INFOSYSTCH,EQ,16-May-2005,2032.9,2040.0,2084.9,2040.0,2069.0,2077.9,2068.41,1016669,2102889603.45,-,587480,57.78
1349,INFOSYSTCH,EQ,17-May-2005,2077.9,2084.0,2116.0,2055.6,2061.0,2063.95,2082.6,1316706,2742173645.3,-,692384,52.58
1350,INFOSYSTCH,EQ,18-May-2005,2063.95,2060.0,2061.9,1993.1,2040.2,2042.25,2024.79,1385709,2805772219.75,-,640784,46.24
1351,INFOSYSTCH,EQ,19-May-2005,2042.25,2065.0,2110.0,2065.0,2099.0,2096.75,2095.66,1051705,2204011577.85,-,624912,59.42
1352,INFOSYSTCH,EQ,20-May-2005,2096.75,2114.0,2150.0,2074.0,2132.0,2140.5,2111.57,959660,2026387748.7,-,417847,43.54
1353,INFOSYSTCH,EQ,23-May-2005,2140.5,2148.0,2148.0,2116.3,2130.0,2134.55,2138.27,362733,775622290.4,-,104514,28.81
1354,INFOSYSTCH,EQ,24-May-2005,2134.55,2162.1,2173.6,2138.5,2147.4,2155.5,2156.52,893314,1926447336.05,-,429537,48.08
1355,INFOSYSTCH,EQ,25-May-2005,2155.5,2131.0,2200.0,2111.15,2159.95,2171.2,2168.84,1635341,3546789544.7,-,871267,53.28
1356,INFOSYSTCH,EQ,26-May-2005,2171.2,2165.05,2228.0,2165.05,2187.15,2205.2,2192.52,2035637,4463173738.45,-,1118674,54.95
1357,INFOSYSTCH,EQ,27-May-2005,2205.2,2145.0,2264.4,2145.0,2240.0,2232.35,2243.14,1336273,2997444971.15,-,722817,54.09
1358,INFOSYSTCH,EQ,30-May-2005,2232.35,2196.1,2240.95,2190.6,2238.9,2228.0,2212.71,885674,1959735379.0,-,327496,36.98
1359,INFOSYSTCH,EQ,31-May-2005,2228.0,2215.0,2258.0,2212.0,2247.0,2250.45,2240.42,844930,1893000534.75,-,304017,35.98
